Date,Price
January 1997,3.45
February 1997,2.15
March 1997,1.89
April 1997,2.03
May 1997,2.25
June 1997,2.2
July 1997,2.19
August 1997,2.49
September 1997,2.88
October 1997,3.07
November 1997,3.01
December 1997,2.35
January 1998,2.09
February 1998,2.23
March 1998,2.24
April 1998,2.43
May 1998,2.14
June 1998,2.17
July 1998,2.17
August 1998,1.85
September 1998,2.02
October 1998,1.91
November 1998,2.12
December 1998,1.72
January 1999,1.85
February 1999,1.77
March 1999,1.79
April 1999,2.15
May 1999,2.26
June 1999,2.3
July 1999,2.31
August 1999,2.8
September 1999,2.55
October 1999,2.73
November 1999,2.37
December 1999,2.36
January 2000,2.42
February 2000,2.66
March 2000,2.79
April 2000,3.04
May 2000,3.59
June 2000,4.29
July 2000,3.99
August 2000,4.43
September 2000,5.06
October 2000,5.02
November 2000,5.52
December 2000,8.9
January 2001,8.17
February 2001,5.61
March 2001,5.23
April 2001,5.19
May 2001,4.19
June 2001,3.72
July 2001,3.11
August 2001,2.97
September 2001,2.19
October 2001,2.46
November 2001,2.34
December 2001,2.3
January 2002,2.32
February 2002,2.32
March 2002,3.03
April 2002,3.43
May 2002,3.5
June 2002,3.26
July 2002,2.99
August 2002,3.09
September 2002,3.55
October 2002,4.13
November 2002,4.04
December 2002,4.74
January 2003,5.43
February 2003,7.71
March 2003,5.93
April 2003,5.26
May 2003,5.81
June 2003,5.82
July 2003,5.03
August 2003,4.99
September 2003,4.62
October 2003,4.63
November 2003,4.47
December 2003,6.13
January 2004,6.14
February 2004,5.37
March 2004,5.39
April 2004,5.71
May 2004,6.33
June 2004,6.27
July 2004,5.93
August 2004,5.41
September 2004,5.15
October 2004,6.35
November 2004,6.17
December 2004,6.58
January 2005,6.15
February 2005,6.14
March 2005,6.96
April 2005,7.16
May 2005,6.47
June 2005,7.18
July 2005,7.63
August 2005,9.53
September 2005,11.75
October 2005,13.42
November 2005,10.3
December 2005,13.05
January 2006,8.69
February 2006,7.54
March 2006,6.89
April 2006,7.16
May 2006,6.25
June 2006,6.21
July 2006,6.17
August 2006,7.14
September 2006,4.9
October 2006,5.85
November 2006,7.41
December 2006,6.73
January 2007,6.55
February 2007,8
March 2007,7.11
April 2007,7.6
May 2007,7.64
June 2007,7.35
July 2007,6.22
August 2007,6.22
September 2007,6.08
October 2007,6.74
November 2007,7.1
December 2007,7.11
January 2008,7.99
February 2008,8.54
March 2008,9.41
April 2008,10.18
May 2008,11.27
June 2008,12.69
July 2008,11.09
August 2008,8.26
September 2008,7.67
October 2008,6.74
November 2008,6.68
December 2008,5.82
January 2009,5.24
February 2009,4.52
March 2009,3.96
